"SN","Source","Region","Country","Country_ID","ISO2","ISO3","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","LocationName","Longitude","Latitude","LocationType","Georeliability","Year_MDA1","N_MDA","Baseline_Prev","SurveyYear","Period","SurveyMonth","Passage","Method_0","Method_1","Method_2","Age_start","Age_end","Examined","Positive","Prevalence","CMFL","Vector_spp","Perc_PoolPositive","SourceOrigen","Funding","Composite_IU_ID"
"15738","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA NORTH","21536","Builsa North","21536","BECHAUNSI","-1.48977","10.68524","Village","1",null,null,null,"2002","2001 - 2005","December","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"205.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216721536"
"15739","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA SOUTH","21537","Builsa South","21537","BECHISI","-1.3600399999999999","10.40588","Village","1",null,null,null,"1983","Before 2001","March","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"85.0","61.0","0.71764705900000003",null,"",null,"APOC","APOC Trust Fund","AGHA0216721537"
"15740","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA SOUTH","21537","Builsa South","21537","BECHISI","-1.3600399999999999","10.40588","Village","1",null,null,null,"1987","Before 2001","December","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"61.0","19.0","0.31147541000000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216721537"
"15741","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA SOUTH","21537","Builsa South","21537","BECHISI","-1.3600399999999999","10.40588","Village","1",null,null,null,"1989","Before 2001","May","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"74.0","16.0","0.21621621599999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216721537"
"15742","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA SOUTH","21537","Builsa South","21537","BECHISI","-1.3600399999999999","10.40588","Village","1",null,null,null,"1999","Before 2001","November","4","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"101.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216721537"
"15743","AFRO","Western Africa","Ghana","20","GH","GHA","WESTERN","2170","ELLEMBELLE","21587","Ellembelle","21587","Bepoase","-2.1488499999999999","5.0293999999999999","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"112.0","6.0","5.3571428999999997E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0217021587"
"15744","AFRO","Western Africa","Ghana","20","GH","GHA","EASTERN","2164","KWAHU SOUTH","21476","Kwahu South","21476","Beposo","-0.59150000000000003","6.5347999999999997","Village","1",null,null,null,"2009","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"235.0","2.0","8.5106379999999992E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216421476"
"15745","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"BEPOSO-SENYASI",null,null,"Village","99",null,null,null,"1997","Before 2001","November","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"193.0","22.0","0.113989637",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15746","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ASANTE-AKYEM NORTH","21386","Asante Akim North","21386","BEPOSO KOMBA","-0.97999999999999998","6.8899999999999997","Village","1",null,null,null,"1995","Before 2001","December","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"57.0","4.0","7.0175439000000006E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216121386"
"15747","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","SISSALA EAST","21550","Sissala East","21550","BESSIASSAN","-1.5600000000000001","10.75","Village","1",null,null,null,"1987","Before 2001","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"133.0","33.0","0.24812030099999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216821550"
"15748","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","SISSALA EAST","21550","Sissala East","21550","BESSIASSAN","-1.5600000000000001","10.75","Village","1",null,null,null,"2001","2001 - 2005","April","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"107.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216821550"
"15749","AFRO","Western Africa","Ghana","20","GH","GHA","WESTERN","2170","SEFWI WIAWSO","21595","Sefwi Wiawso","21595","Betenase","-2.5509567","6.1292007999999996","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"90.0","4.0","0.044444444",null,"",null,"APOC","APOC Trust Fund","AGHA0217021595"
"15750","AFRO","Western Africa","Ghana","20","GH","GHA","WESTERN","2170","SEFWI WIAWSO","21595","Sefwi Wiawso","21595","BETENASE","-2.5509567","6.1292007999999996","Village","1",null,null,null,"1995","Before 2001","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"185.0","84.0","0.45405405399999998",null,"",null,"APOC","APOC Trust Fund","AGHA0217021595"
"15751","AFRO","Western Africa","Ghana","20","GH","GHA","WESTERN","2170","SEFWI WIAWSO","21595","Sefwi Wiawso","21595","BETENASE","-2.5509567","6.1292007999999996","Village","1",null,null,null,"1996","Before 2001","March","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"152.0","43.0","0.28289473700000001",null,"",null,"APOC","APOC Trust Fund","AGHA0217021595"
"15752","AFRO","Western Africa","Ghana","20","GH","GHA","WESTERN","2170","SEFWI WIAWSO","21595","Sefwi Wiawso","21595","BETENASE","-2.5509567","6.1292007999999996","Village","1",null,null,null,"2001","2001 - 2005","May","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"230.0","51.0","0.22173913000000001",null,"",null,"APOC","APOC Trust Fund","AGHA0217021595"
"15753","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","HO WEST","21563","Ho West","21563","BIAKPA","0.42006599999999999","6.8403125999999999","Village","1",null,null,null,"1978","Before 2001","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"389.0","105.0","0.269922879",null,"",null,"APOC","APOC Trust Fund","AGHA0216921563"
"15754","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","HO WEST","21563","Ho West","21563","BIAKPA","0.42006599999999999","6.8403125999999999","Village","1",null,null,null,"2002","2001 - 2005","December","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"246.0","60.0","0.243902439",null,"",null,"APOC","APOC Trust Fund","AGHA0216921563"
"15755","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","ASUTIFI NORTH","21411","Asutifi","21411","BIASO","-2.7136244999999999","7.0952535000000001","Village","1",null,null,null,"1995","Before 2001","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"141.0","1.0","7.0921990000000004E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216221411"
"15756","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","BIELEKPONG","-1.73","9.9600000000000009","Village","1",null,null,null,"1989","Before 2001","February","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"282.0","154.0","0.54609929099999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"15757","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","BIELEKPONG","-1.73","9.9600000000000009","Village","1",null,null,null,"1999","Before 2001","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"160.0","52.0","0.32500000000000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"15758","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","BIELEKPONG","-1.73","9.9600000000000009","Village","1",null,null,null,"2007","2006 - 2010","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"139.0","4.0","2.8776978000000002E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"15759","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","BIELEKPONG","-1.72071","9.9746699999999997","Village","1",null,null,null,"2010","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"246.0","4.0","1.6260163000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"15760","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","BIELIKPONG","-1.7207300000000001","9.9740599999999997","Village","1",null,null,null,"1992","Before 2001","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"288.0","109.0","0.37847222200000002",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"15761","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","BIELIKPONG","-1.7207300000000001","9.9740599999999997","Village","1",null,null,null,"1995","Before 2001","January","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"389.0","78.0","0.20051413900000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"15762","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","BIELIKPONG","-1.7207300000000001","9.9740599999999997","Village","1",null,null,null,"1998","Before 2001","May","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"376.0","24.0","6.3829786999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"15763","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","BIELIKPONG","-1.7207300000000001","9.9740599999999997","Village","1",null,null,null,"2002","2001 - 2005","December","4","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"211.0","5.0","0.023696682",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"15764","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","Biellikpong","-1.7211000000000001","9.9746333000000007","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"139.0","4.0","2.8776978000000002E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"15765","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","OFFINSO NORTH","21403","Offinso North","21403","Biemu","-1.8105833","7.2443888999999997","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"124.0","1.0","8.0645160000000007E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216121403"
"15766","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","MAMPRUGO MOADURI","21513","Mamprugu Moagduri","21513","BIMA","-1.1850556999999999","10.2562","Village","1",null,null,null,"1989","Before 2001","October","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"291.0","13.0","4.4673539999999998E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621513"
"15767","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","LAWRA","21547","Lawra","21547","Birifo-Cha","-2.8727299999999998","10.51469","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"214.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216821547"
"15768","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ADANSI SOUTH","21380","Adansi South","21380","Birim Aboi","-1.2236","5.9718200000000001","Village","1",null,null,null,"2013","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"92.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216121380"
"15769","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","JIRAPA","21545","Jirapa","21545","Biro","-2.8514599999999999","10.481949999999999","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"114.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216821545"
"15770","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","Bita Akura","-0.89230560000000003","7.9865556","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"118.0","23.0","0.19491525400000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"15771","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"Bita Akura",null,null,"Village","99",null,null,null,"2009","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"111.0","14.0","0.12612612600000001",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15772","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI NCHUMURU","21572","Krachi Nchumuru","21572","Bitim","-0.13008330000000001","8.1910833000000007","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"87.0","12.0","0.13793103400000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216921572"
"15773","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"BITIM",null,null,"Village","99",null,null,null,"2007","2006 - 2010","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"87.0","12.0","0.13793103400000001",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15774","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","TECHIMAN NORTH","21435","Techiman North","21435","Boankron","-1.8704722","7.6133889000000003","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"126.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216221435"
"15775","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","OFFINSO NORTH","21403","Offinso North","21403","Bobera","-1.6987778","7.2449722000000003","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"135.0","2.0","0.014814815",null,"",null,"APOC","APOC Trust Fund","AGHA0216121403"
"15776","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","BANDA","21414","Banda","21414","BOFIE","-2.3751023","8.0198915999999993","Village","1",null,null,null,"1989","Before 2001","October","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"290.0","6.0","2.0689655000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216221414"
"15777","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","BANDA","21414","Banda","21414","BOFIE","-2.3751023","8.0198915999999993","Village","1",null,null,null,"2010","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"115.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216221414"
"15778","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","BOFOURKROM","-2.29","8.3200000000000003","Village","1",null,null,null,"1997","Before 2001","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"29.0","5.0","0.17241379300000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"15779","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","BOFOURKROM","-2.29","8.3200000000000003","Village","1",null,null,null,"2001","2001 - 2005","March","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"93.0","9.0","9.6774193999999994E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"15780","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"BOFUOR AKURA",null,null,"Village","99",null,null,null,"2007","2006 - 2010","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"55.0","23.0","0.41818181799999998",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15781","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"Bogya",null,null,"Village","99",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"157.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15782","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","JIRAPA","21545","Jirapa","21545","BOJU","-2.6721200000000001","10.47695","Village","1",null,null,null,"1996","Before 2001","November","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"234.0","9.0","3.8461538000000003E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821545"
"15783","AFRO","Western Africa","Ghana","20","GH","GHA","WESTERN","2170","TARKWA NSUAEM","21599","Tarkwa Nsuaem Municipal","21599","BONSASO","-2.044251","5.1792514000000001","Village","1",null,null,null,"2002","2001 - 2005","December","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"148.0","34.0","0.22972972999999999",null,"",null,"APOC","APOC Trust Fund","AGHA0217021599"
"15784","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ATWIMA MPONUA","21391","Atwima Mponua","21391","BONTOMURUSO","-2.0328781","6.5633043000000004","Village","1",null,null,null,"1995","Before 2001","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"278.0","10.0","3.5971222999999997E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216121391"
